"Treatment","Toxicity_Rate"
"WT_Clean","0.2355 (0.1557, 0.3480)"
"WT_Biased","0.2738 (0.2075, 0.3575)"
"HapB3","0.4280 (0.3379, 0.5238)"
"2846hetho","0.7495 (0.6200, 0.8476)"
"2Ahetho","0.7057 (0.5839, 0.8044)"
"13hetho","0.7097 (0.4522, 0.8958)"
