"comparison","OR_median","OR_lower","OR_upper","CrI_excludes_1","SUCRA","DIC","max_PSRF","converged","escalated","n_treatments","n_studies","n_arms"
"WT_Biased vs WT_Clean",1.056,0.502,1.927,FALSE,88.6,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"HapB3 vs WT_Clean",2.086,0.9969,4.081,FALSE,60.1,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"2846hetho vs WT_Clean",8.52,3.566,19.31,TRUE,12.9,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"2Ahetho vs WT_Clean",6.778,2.924,14.36,TRUE,24.9,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"13hetho vs WT_Clean",6.902,1.965,27.5,TRUE,22.6,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"HapB3 vs WT_Biased",1.999,1.241,3.214,TRUE,NA,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"WT_Clean vs WT_Biased (diagnostic)",0.9467,0.519,1.992,FALSE,NA,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
"MODEL_DIAGNOSTICS",NA,NA,NA,NA,NA,151.645546346361,1.03740524731278,TRUE,FALSE,6,31,98
