"Treatment","OR_vs_Reference_95CrI","Significant","P_Best"
"WT","--","--","N/A"
"HapB3","2.0050 (1.2940, 3.1860)","Yes","N/A"
"2846hetho","8.2220 (4.5020, 15.5100)","Yes","N/A"
"2Ahetho","6.6030 (3.8640, 11.4700)","Yes","N/A"
"13hetho","6.7350 (2.2030, 24.3600)","Yes","N/A"
