"Metric","Value"
"Model","wt_unified"
"DIC","151.49"
"pD","59.45"
"D.bar","92.04"
"totresdev","92.04"
"n_arms","98"
"totresdev_per_arm","0.94"
"Max_PSRF","1.0285"
"Converged","TRUE"
